color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hannibal Rising,2007,R,09 Feb 2007,121 min,"Adventure, Crime, Drama",Peter Webber,Thomas Harris,"Gaspard Ulliel, Rhys Ifans, Gong Li","Mischa and Hannibal, baby brother and sister, are inseparable; it is their love for each other that ties their bond. Their companionship is forever binding, until, with their family, while hiding from the Nazi war machine a twisted set of circumstance sets the pace for a most vicious attack on the future of one Hannibal Lecter for the sworn vengeance for the brutal killing of his baby sister. Years later, we find Hannibal, the teenager, setting up in Paris, and living with his aunt Lady Murasaki Shikibu and studying at medical school here he finds his forte. Still searching for his sister's murderers, still bitter and still ever hopeful of satisfying his desire for retribution. This chance arrives, and soon we are to learn that for a pound of flesh lost a pound of flesh must be repaid. This is the horrific tale of justice and honor, a young man's growing pains that will have the guilty paying with more than just flesh and bone. This is the up and rising tale of the young Hannibal, pray you do not meet him, for meat you shall be to him. Taste his wrath.","English, German, Russian","Czech Republic, United Kingdom, France, Italy, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BMTIzMTA0NTM4NF5BMl5BanBnXkFtZTcwNjY3ODM0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.1,"112,206",tt0367959,movie,06 Feb 2007,"$27,670,986",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Story of Us,1999,R,15 Oct 1999,95 min,"Comedy, Drama, Romance",Rob Reiner,"Alan Zweibel, Jessie Nelson","Bruce Willis, Michelle Pfeiffer, Colleen Rennison",Ben and Katie married fifteen years ago and gifted with two children. They stay together but their hearts had separated long back. After the kids are send to summer camp both start living separately and eventually preparing to break news of their separation to the kids. But being alone in each one's own world makes them to think about the other. When the D-day comes Katie and Ben stick together for the good of their children.,"English, Italian",United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BYzAxZTI5NDItNzRkOS00NjczLTkzNjctMTU1NjdkYjI5YjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.9,"24,309",tt0160916,movie,01 Jun 2004,"$27,100,031","Universal Pictures, MCA/Universal Pictures [us], Polygram",N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Host,2013,PG-13,29 Mar 2013,125 min,"Action, Adventure, Drama",Andrew Niccol,"Andrew Niccol, Stephenie Meyer","Saoirse Ronan, Max Irons, Jake Abel","A body-snatching alien takes possession of a young woman who refuses to surrender her mind, and together they seek out the man they both love as Writer and Director Andrew Niccol (Gattaca (1997), In Time (2011)) adapts Twilight author Stephenie Meyer's New York Times best-seller. The majority of the human race have been possessed by unseen invaders, leaving only small pockets of ""wild"" humans like Melanie Stryder (Saoirse Ronan) scattered throughout the world. Upon being captured by the invaders, Melanie finds her body claimed by Wanderer, a spirit that has been warned of the difficulties that come with claiming a human host. In the process of inhabiting Melanie, Wanderer is deeply affected by her vivid dreams and memories. And when Melanie fights to maintain control of her mind even as Wanderer possesses her body, the sympathetic entity joins her on a journey that will reveal the unfathomable depths of human love and compassion.",English,"United States, Switzerland",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjMwNDg1MTAzNV5BMl5BanBnXkFtZTcwNTk5ODI3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,5.8,"116,404",tt1517260,movie,09 Jul 2013,"$26,627,201",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic,2003,R,28 Mar 2003,98 min,"Action, Crime, Drama",John McTiernan,James Vanderbilt,"John Travolta, Samuel L. Jackson, Connie Nielsen","Tom Hardy, an ex-Army Ranger turned DEA agent, is drawn into an ever-widening mystery surrounding the disappearance of the feared and often hated Sgt. Nathan West, as well as several of his elite Special Forces trainees on what appears, at first, to have been a routine training exercise during a hurricane in the jungles of Panama. Only two survivors are found, Dunbar, and a badly wounded Kendall, the son of a high-profile Joint Chiefs of Staff official. Neither is willing to cooperate with Capt. Julia Osborne's investigation. So base commander Col. Bill Styles calls in ex-Ranger Hardy, an old friend and a persuasive interrogator. Osborne disapproves of Hardy who is on leave from the D.E.A. after having come under suspicion of accepting bribes from local drug traffickers. She is also uneasy when she learns that Hardy once trained under West and hates him almost as passionately as his current recruits. With time running out, Hardy and Osborne call a temporary, if uneasy, truce. Hardy cajoles a confession out of Dunbar, who claims that Sgt. West and the missing Rangers have been murdered and their bodies blown away by the hurricane. When they later interview Kendall, he confirms that the other Rangers and West are dead. But, in almost every other way, his story contradicts Dunbar's. What happened to West and his Ranger team? And what were they really doing out there in the jungle? As each layer reveals more lies and greater deceptions, Hardy and Osborne inch towards the horrible truth about the fate of the missing Rangers.",English,"Germany, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BNThiYzhlMzctZGY3Ni00YTk2LWIwMmEtMDcxMzNmMzU2MWJhXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,6.4,"64,190",tt0264395,movie,08 Jul 2003,"$26,793,311",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood Work,2002,R,09 Aug 2002,110 min,"Action, Crime, Drama",Clint Eastwood,"Michael Connelly, Brian Helgeland","Clint Eastwood, Jeff Daniels, Anjelica Huston","Retired F.B.I. profiler Terry McCaleb (Clint Eastwood), who has recently had a heart transplant, is hired by Graciella Rivers (Wanda De Jesus), to investigate the death of her sister, Gloria, who happens to have given McCaleb his heart. On the case, he soon deduces that the killer, who staged the murder to look like a random robbery, may actually be a serial killer Terry was trailing for years in the F.B.I. Can the elderly and feeble McCaleb, who had intended to spend his retirement living on his boat in the Los Angeles harbor, and who can't drive, and has to nap regularly, muster up the endurance to find the killer?","English, Spanish",United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTIxMDMzMDk1NV5BMl5BanBnXkFtZTYwNzgxNDY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.4,"46,055",tt0309377,movie,27 Dec 2002,"$26,235,081",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The International,2009,R,13 Feb 2009,118 min,"Action, Crime, Drama",Tom Tykwer,Eric Warren Singer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl","In The International, Interpol Agent Louis Salinger and Manhattan Assistant District Attorney Eleanor Whitman are determined to bring to justice one of the world's most powerful banks. Uncovering illegal activities including money laundering, arms trading, and the destabilization of governments, Salinger and Whitman's investigation takes them from Berlin to Milan to New York and to Istanbul. Finding themselves in a high-stakes chase across the globe, their relentless tenacity puts their own lives at risk as the bank will stop at nothing - even murder - to continue financing terror and war.","English, Italian, French, Danish","United States, Germany, United Kingdom, France",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjE3Njg5NzY2OV5BMl5BanBnXkFtZTcwMDMxNjEwMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.5,"96,902",tt0963178,movie,09 Jun 2009,"$25,450,527",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Escape from L.A.,1996,R,09 Aug 1996,101 min,"Action, Adventure, Sci-Fi",John Carpenter,"John Carpenter, Nick Castle, Debra Hill","Kurt Russell, Steve Buscemi, Stacy Keach","The year is 2013 and Snake Plissken is back but this time it's L.A., which through the agency of earthquakes has become an island of the damned. But something has gone wrong in this new moral order, because the President's daughter has absconded to L.A. with a detonation device, and Snake is commandeered to retrieve it. But just below the surface there is a coiled Snake ready to strike.","English, Spanish",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOWUzNTRmNTQtNWMwZS00MTg4LThhMDUtYmQ5OGQ5MmNmYzNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,5.7,"76,995",tt0116225,movie,15 Dec 1998,"$25,477,365",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twisted,2013–2014,TV-14,11 Jun 2013,1 min,"Drama, Mystery, Thriller",N/A,Adam Milch,"Avan Jogia, Maddie Hasson, Ashton Moio","Teen Danny Desai returns home after five years in a juvenile detention facility for killing his aunt, reconnects with old friends and attracts the attention of the high schools ""it girl"" who is later found dead and he is the prime suspect in the murder.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BNWU0ZWQyY2EtZGQ0NC00ZGZiLTlkZWYtOGVhZjM1OTg3ZmYyXkEyXkFqcGdeQXVyNjQxNjQ2Mjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"9,959",tt2355844,series,,,,,True,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Iron Giant,1999,PG,06 Aug 1999,86 min,"Animation, Action, Adventure",Brad Bird,"Tim McCanlies, Brad Bird, Ted Hughes","Eli Marienthal, Harry Connick Jr., Jennifer Aniston","This is the story of a nine-year-old boy named Hogarth Hughes who makes friends with an innocent alien giant robot that came from outer space. Meanwhile, a paranoid U.S. Government agent named Kent Mansley arrives in town, determined to destroy the giant at all costs. It's up to Hogarth to protect him by keeping him at Dean McCoppin's place in the junkyard.",English,United States,Won 1 BAFTA Award20 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BYzBjZTNkMzQtZmNkOC00Yzk0LTljMjktZjk3YWVlZjY3NTk2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.1,"205,594",tt0129167,movie,27 Sep 2005,"$23,315,035",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Life Aquatic with Steve Zissou,2004,R,25 Dec 2004,119 min,"Action, Adventure, Comedy",Wes Anderson,"Wes Anderson, Noah Baumbach","Bill Murray, Owen Wilson, Anjelica Huston","When his partner is killed by the mysterious and possibly nonexistent Jaguar Shark, Steve Zissou (Bill Murray) and his Team Zissou crew set off for an expedition to hunt down the creature. Along with his estranged wife, a beautiful journalist and a co-pilot who could possibly be Zissou's son, the crew set off for one wild expedition.","English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian",United States,3 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTYzODYzNzg2MF5BMl5BanBnXkFtZTcwMTkzOTQzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.2,"201,399",tt0362270,movie,N/A,"$24,020,403",N/A,N/A,True,
